SteamId,Username,Time,ZeepkistId,ColorId,HatId
76561198106476018,[CTR]jandje,34.59529,49000014,3001,59000000
76561198064346397,Mark,34.65168,3008,1002,30002
76561197996872205,Erko,34.82185,1001,3004,6004
76561198047403251,St Nicholas,35.25177,38000000,3001,58000000
76561199292634733,Zodiak,35.31135,3008,3004,2025
76561198259463003,[CTR]R0nanC,35.54667,54000000,3000,6100
76561197975483812,Dunke,35.65367,22000,3006,2017
76561199053404858,[OR] Roader,35.69689,15000,2002,6005
76561198851912263,Lexer,35.81743,1014,3002,2020
76561197989028539,Diabler,35.82381,22001,1001,22000
76561198091849339,Hi Im Yolo,35.84729,49000014,1004,21002
76561198932043314,Metalted,36.04242,45002,1002,23001
76561197993715322,Captain SemiColon,36.05114,5000,1004,2001
76561198991237382,[TD38] TraNin,36.06256,29000,3004,18000
76561198031919228,Akane,36.13708,55000001,3006,30000000
76561199046555647,bernhard,36.18337,3002,4002,27000000
76561197996376845,Arder,36.29697,3004,1003,2001
76561198096236961,koz,36.36373,3001,2000,14000
76561199013714548,Chapin,36.46821,38005,1006,2007
76561198068940294,Pascquale,36.48225,36001,1000,6001
76561199112007446,bigugy,36.62841,38004,4003,6005
76561198208927760,Miner_vdv,36.8318,23000,3000,13000
76561198000574574,Tomixcomics,37.08296,16000,2001,13000
76561197997866088,Pilaf,37.34494,33002,1008,9003
76561198025621763,[XTR]Exterminate,37.52086,3002,1001,15000000
76561198044604220,SQU4DDL3R,37.55319,45000,2001,2008
76561198035400760,BuddhaBladez,37.69321,3001,1004,23000
76561199216713474,blakegomars,37.96988,25000,1000,2000
76561198877974919,sethlikepie,38.88,3000,1000,1000
76561199203286507,AndyKerman,41.42099,3004,1002,2001
76561199520248311,LegalMango,43.06332,38001,1006,23000
76561198076209946,maskeddog,45.99072,2003,1008,1002
